---------------------------------------------------------------------------------
|PARAMETERS                 |NUM|LAST_TIME          |SOURCE                     |
|'400', '500107221920210001'|  6|2021/08/31 01:25:28|M_EXPENSIVE_STATEMENTS     |
|'400', '500107221820210001'|  6|2021/08/31 01:25:07|M_EXPENSIVE_STATEMENTS     |
|'400', '500107221720210001'|  6|2021/08/31 01:24:45|M_EXPENSIVE_STATEMENTS     |
|'400', '500107221620210001'|  6|2021/08/31 01:24:06|M_EXPENSIVE_STATEMENTS     |
|'400', '500107221520210001'|  6|2021/08/31 01:23:45|M_EXPENSIVE_STATEMENTS     |
|'400', '490613722220210001'|  6|2021/08/31 01:18:04|M_EXPENSIVE_STATEMENTS     |
|'400', '490613722020210001'|  6|2021/08/31 01:15:33|M_EXPENSIVE_STATEMENTS     |
|'400', '500107222520210001'|  6|2021/08/31 01:14:40|M_EXPENSIVE_STATEMENTS     |
|'400', '490613720720210001'|  6|2021/08/31 01:10:39|M_EXPENSIVE_STATEMENTS     |
|'400', '500107223420210001'|  6|2021/08/31 01:09:56|M_EXPENSIVE_STATEMENTS     |
|'400', '500107214720210001'|  6|2021/08/31 01:09:22|M_EXPENSIVE_STATEMENTS     |
|'400', '490613716920210001'|  6|2021/08/31 01:08:26|M_EXPENSIVE_STATEMENTS     |
|'400', '500107176520210001'|  6|2021/08/30 17:11:23|M_EXPENSIVE_STATEMENTS     |
|'400', '500107179020210001'|  6|2021/08/30 17:11:30|M_EXPENSIVE_STATEMENTS     |
|'400', '500107179120210001'|  6|2021/08/30 17:11:47|M_EXPENSIVE_STATEMENTS     |
|'400', '490613394720210001'|  6|2021/08/30 17:11:56|M_EXPENSIVE_STATEMENTS     |
|'400', '500107179220210001'|  6|2021/08/30 17:12:05|M_EXPENSIVE_STATEMENTS     |
|'400', '500107179320210001'|  6|2021/08/30 17:12:22|M_EXPENSIVE_STATEMENTS     |
|'400', '500107179420210001'|  6|2021/08/30 17:12:41|M_EXPENSIVE_STATEMENTS     |
|'400', '500107179520210001'|  6|2021/08/30 17:12:59|M_EXPENSIVE_STATEMENTS     |
|'400', '500107179620210001'|  6|2021/08/30 17:13:15|M_EXPENSIVE_STATEMENTS     |
|'400', '500107179720210001'|  6|2021/08/30 17:13:30|M_EXPENSIVE_STATEMENTS     |
|'400', '500107180120210001'|  6|2021/08/30 17:14:52|M_EXPENSIVE_STATEMENTS     |
|'400', '500107176620210001'|  6|2021/08/30 17:15:03|M_EXPENSIVE_STATEMENTS     |
|'400', '500107180820210001'|  6|2021/08/30 17:15:45|M_EXPENSIVE_STATEMENTS     |
|'400', '500107181020210001'|  6|2021/08/30 17:16:08|M_EXPENSIVE_STATEMENTS     |
|'400', '500107181120210001'|  6|2021/08/30 17:16:26|M_EXPENSIVE_STATEMENTS     |
|'400', '490613394820210001'|  6|2021/08/30 17:17:12|M_EXPENSIVE_STATEMENTS     |
|'400', '500107177320210001'|  6|2021/08/30 17:18:28|M_EXPENSIVE_STATEMENTS     |
|'400', '490613394920210001'|  6|2021/08/30 17:22:49|M_EXPENSIVE_STATEMENTS     |
|'400', '500107176720210001'|  6|2021/08/30 17:23:32|M_EXPENSIVE_STATEMENTS     |
|'400', '500107176820210001'|  6|2021/08/30 17:24:07|M_EXPENSIVE_STATEMENTS     |
|'400', '490613404020210001'|  6|2021/08/30 17:24:13|M_EXPENSIVE_STATEMENTS     |
|'400', '500107181220210001'|  6|2021/08/30 17:25:52|M_EXPENSIVE_STATEMENTS     |
|'400', '500107173620210001'|  6|2021/08/30 16:53:20|M_EXPENSIVE_STATEMENTS     |
|'400', '500107177120210001'|  6|2021/08/30 16:53:59|M_EXPENSIVE_STATEMENTS     |
|'400', '500107176120210001'|  6|2021/08/30 16:54:13|M_EXPENSIVE_STATEMENTS     |
|'400', '500107173720210001'|  6|2021/08/30 16:55:01|M_EXPENSIVE_STATEMENTS     |
|'400', '500107173820210001'|  6|2021/08/30 16:55:54|M_EXPENSIVE_STATEMENTS     |
|'400', '500107173920210001'|  6|2021/08/30 16:57:22|M_EXPENSIVE_STATEMENTS     |
|'400', '490613394020210001'|  6|2021/08/30 16:57:23|M_EXPENSIVE_STATEMENTS     |
|'400', '500107178020210001'|  6|2021/08/30 16:57:23|M_EXPENSIVE_STATEMENTS     |
|'400', '500107178120210001'|  6|2021/08/30 16:57:37|M_EXPENSIVE_STATEMENTS     |
|'400', '500107178220210001'|  6|2021/08/30 16:57:56|M_EXPENSIVE_STATEMENTS     |
|'400', '490613394120210001'|  6|2021/08/30 16:58:28|M_EXPENSIVE_STATEMENTS     |
|'400', '490613394220210001'|  6|2021/08/30 16:58:46|M_EXPENSIVE_STATEMENTS     |
|'400', '490613394320210001'|  6|2021/08/30 16:59:58|M_EXPENSIVE_STATEMENTS     |
|'400', '500107176320210001'|  6|2021/08/30 17:01:00|M_EXPENSIVE_STATEMENTS     |
|'400', '500107176420210001'|  6|2021/08/30 17:02:50|M_EXPENSIVE_STATEMENTS     |
|'400', '500107177220210001'|  6|2021/08/30 17:05:24|M_EXPENSIVE_STATEMENTS     |
|'400', '500107178420210001'|  6|2021/08/30 17:09:04|M_EXPENSIVE_STATEMENTS     |
|'400', '500107178520210001'|  6|2021/08/30 17:09:19|M_EXPENSIVE_STATEMENTS     |
|'400', '500107178620210001'|  6|2021/08/30 17:10:28|M_EXPENSIVE_STATEMENTS     |
|'400', '500107163120210001'|  6|2021/08/30 17:10:37|M_EXPENSIVE_STATEMENTS     |
|'400', '500107178720210001'|  6|2021/08/30 17:10:48|M_EXPENSIVE_STATEMENTS     |
|'400', '490613394620210001'|  6|2021/08/30 17:10:58|M_EXPENSIVE_STATEMENTS     |
|'400', '500107178820210001'|  6|2021/08/30 17:11:06|M_EXPENSIVE_STATEMENTS     |
|'400', '490613479220210001'|  6|2021/08/30 17:49:58|M_EXPENSIVE_STATEMENTS     |
|'400', '500107181720210001'|  6|2021/08/30 17:51:38|M_EXPENSIVE_STATEMENTS     |
|'400', '490613479420210001'|  6|2021/08/30 17:53:37|M_EXPENSIVE_STATEMENTS     |
|'400', '490613479520210001'|  6|2021/08/30 17:53:43|M_EXPENSIVE_STATEMENTS     |
|'400', '500107183020210001'|  6|2021/08/30 17:58:36|M_EXPENSIVE_STATEMENTS     |
|'400', '500107181820210001'|  6|2021/08/30 17:58:40|M_EXPENSIVE_STATEMENTS     |
|'400', '500107182420210001'|  6|2021/08/30 17:59:31|M_EXPENSIVE_STATEMENTS     |
|'400', '500107181920210001'|  6|2021/08/30 17:59:54|M_EXPENSIVE_STATEMENTS     |
|'400', '500107184020210001'|  6|2021/08/30 18:03:47|M_EXPENSIVE_STATEMENTS     |
|'400', '500107184420210001'|  6|2021/08/30 18:05:51|M_EXPENSIVE_STATEMENTS     |
|'400', '500107182520210001'|  6|2021/08/30 18:06:04|M_EXPENSIVE_STATEMENTS     |
|'400', '490613419920210001'|  6|2021/08/30 18:06:59|M_EXPENSIVE_STATEMENTS     |
|'400', '500107183120210001'|  6|2021/08/30 18:09:14|M_EXPENSIVE_STATEMENTS     |
|'400', '500107183220210001'|  6|2021/08/30 18:10:00|M_EXPENSIVE_STATEMENTS     |
|'400', '500107183320210001'|  6|2021/08/30 18:10:30|M_EXPENSIVE_STATEMENTS     |
|'400', '500107184520210001'|  6|2021/08/30 18:13:13|M_EXPENSIVE_STATEMENTS     |
|'400', '490613479620210001'|  6|2021/08/30 18:14:48|M_EXPENSIVE_STATEMENTS     |
|'400', '490613479720210001'|  6|2021/08/30 18:15:08|M_EXPENSIVE_STATEMENTS     |
|'400', '490613479820210001'|  6|2021/08/30 18:15:25|M_EXPENSIVE_STATEMENTS     |
|'400', '500107184620210001'|  6|2021/08/30 18:15:33|M_EXPENSIVE_STATEMENTS     |
|'400', '500107182620210001'|  6|2021/08/30 18:16:44|M_EXPENSIVE_STATEMENTS     |
|'400', '500107184720210001'|  6|2021/08/30 18:17:06|M_EXPENSIVE_STATEMENTS     |
|'400', '500107184820210001'|  6|2021/08/30 18:17:39|M_EXPENSIVE_STATEMENTS     |
|'400', '500107177420210001'|  6|2021/08/30 17:30:07|M_EXPENSIVE_STATEMENTS     |
|'400', '500107177520210001'|  6|2021/08/30 17:32:56|M_EXPENSIVE_STATEMENTS     |
|'400', '490613404320210001'|  6|2021/08/30 17:33:45|M_EXPENSIVE_STATEMENTS     |
|'400', '500107177620210001'|  6|2021/08/30 17:34:09|M_EXPENSIVE_STATEMENTS     |
|'400', '490613404420210001'|  6|2021/08/30 17:34:38|M_EXPENSIVE_STATEMENTS     |
|'400', '500107176920210001'|  6|2021/08/30 17:35:19|M_EXPENSIVE_STATEMENTS     |
|'400', '500107177720210001'|  6|2021/08/30 17:35:51|M_EXPENSIVE_STATEMENTS     |
|'400', '490613404520210001'|  6|2021/08/30 17:36:13|M_EXPENSIVE_STATEMENTS     |
|'400', '500107182020210001'|  6|2021/08/30 17:37:44|M_EXPENSIVE_STATEMENTS     |
|'400', '500107181320210001'|  6|2021/08/30 17:38:03|M_EXPENSIVE_STATEMENTS     |
|'400', '500107181420210001'|  6|2021/08/30 17:38:21|M_EXPENSIVE_STATEMENTS     |
|'400', '500107182120210001'|  6|2021/08/30 17:39:06|M_EXPENSIVE_STATEMENTS     |
|'400', '500107182220210001'|  6|2021/08/30 17:40:26|M_EXPENSIVE_STATEMENTS     |
|'400', '500107177820210001'|  6|2021/08/30 17:41:34|M_EXPENSIVE_STATEMENTS     |
|'400', '490613404620210001'|  6|2021/08/30 17:41:38|M_EXPENSIVE_STATEMENTS     |
|'400', '490613404720210001'|  6|2021/08/30 17:41:53|M_EXPENSIVE_STATEMENTS     |
|'400', '490613404820210001'|  6|2021/08/30 17:42:44|M_EXPENSIVE_STATEMENTS     |
|'400', '500107177920210001'|  6|2021/08/30 17:43:46|M_EXPENSIVE_STATEMENTS     |
|'400', '500107175420210001'|  6|2021/08/30 17:45:37|M_EXPENSIVE_STATEMENTS     |
|'400', '500107182320210001'|  6|2021/08/30 17:47:49|M_EXPENSIVE_STATEMENTS     |
|'400', '500107181520210001'|  6|2021/08/30 17:48:07|M_EXPENSIVE_STATEMENTS     |
|'400', '500107181620210001'|  6|2021/08/30 17:49:24|M_EXPENSIVE_STATEMENTS     |
|'400', '490613479120210001'|  6|2021/08/30 17:49:51|M_EXPENSIVE_STATEMENTS     |
|'400', '500107208920210001'|  6|2021/08/30 23:28:16|M_EXPENSIVE_STATEMENTS     |
