---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|HOST|PORT |SERVICE|SCHEMA_NAME|TABLE_NAME      |COLUMN_NAME              |NUM_COLS|NUM_DISTINCT|LENGTH|COMPRESSION|INDEX_TYPE|DATA_TYPE       |ATTRIBUTE_TYPE   |LOADED|PAGEABLE|USED_FOR                            |MEM_TOTAL_MB|MEM_INDEX_MB|MEM_PERS_MB|SCANNED_RECORDS|INDEX_LOOKUPS|LAST_LOAD_TIME     |
|any |30043|any    |SAPABAP1   |ACDOCA          |AWREF                    |      18|          -1|    10|INDIRECT   |FULL      |NVARCHAR(STRING)|                 |     0|NO      |Index ACDOCA~AWR                    |        1.81|        1.64|          0|              0|            0|                   |
|any |30043|any    |SAPABAP1   |ACDOCA          |AWREF                    |       3|           0|    10|DEFAULT    |NONE      |NVARCHAR(STRING)|                 |     1|NO      |Index ACDOCA~AWR                    |        0.01|         0.0|          0|              0|            0|2021/07/01 15:03:34|
|any |30043|any    |SAPABAP1   |ACDOCA          |AWREF_REV                |       8|          -1|    10|RLE        |NONE      |NVARCHAR(STRING)|                 |     0|NO      |                                    |        0.41|         0.0|          0|              0|            0|                   |
|any |30043|any    |SAPABAP1   |ACDOCA          |AWREF_REV                |       2|        1395|    10|RLE        |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |        0.09|         0.0|          0|              0|            0|2021/07/09 15:15:37|
|any |30043|any    |SAPABAP1   |ACDOCA          |AWREF_REV                |      23|          -1|    10|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     0|NO      |                                    |        0.14|         0.0|          0|              0|            0|                   |
|any |30043|any    |SAPABAP1   |ACDOCA          |AWREF_REV                |       3|           0|    10|DEFAULT    |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |        0.01|         0.0|          0|              0|            0|2021/07/01 15:03:34|
|any |30043|any    |SAPABAP1   |ACDOCA          |AWSYS                    |       1|           1|    10|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |         0.0|         0.0|          0|              0|            0|2021/07/09 15:12:21|
|any |30043|any    |SAPABAP1   |ACDOCA          |AWSYS                    |       3|           0|    10|DEFAULT    |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |        0.01|         0.0|          0|              0|            0|2021/07/01 15:03:34|
|any |30043|any    |SAPABAP1   |ACDOCA          |AWSYS                    |      32|          -1|    10|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     0|NO      |                                    |        0.56|         0.0|          0|              0|            0|                   |
|any |30043|any    |SAPABAP1   |ACDOCA          |AWTYP                    |      10|          -1|     5|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     0|NO      |                                    |        0.03|         0.0|          0|              0|            0|                   |
|any |30043|any    |SAPABAP1   |ACDOCA          |AWTYP                    |       3|           0|     5|DEFAULT    |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |        0.01|         0.0|          0|              0|            0|2021/07/01 15:03:34|
|any |30043|any    |SAPABAP1   |ACDOCA          |AWTYP                    |      21|          -1|     5|RLE        |NONE      |NVARCHAR(STRING)|                 |     0|NO      |                                    |        0.52|         0.0|          0|              0|            0|                   |
|any |30043|any    |SAPABAP1   |ACDOCA          |AWTYP                    |       2|           3|     5|RLE        |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |        0.02|         0.0|          0|              0|            0|2021/07/09 15:15:21|
|any |30043|any    |SAPABAP1   |ACDOCA          |AWTYP_REV                |      23|          -1|     5|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     0|NO      |                                    |        0.14|         0.0|          0|              0|            0|                   |
|any |30043|any    |SAPABAP1   |ACDOCA          |AWTYP_REV                |       8|          -1|     5|RLE        |NONE      |NVARCHAR(STRING)|                 |     0|NO      |                                    |        0.41|         0.0|          0|              0|            0|                   |
